Airbus A220-300;160;37080;17206;871;2.85;1.5025
Airbus A320neo;154;44300;23727;833;2.79;1.9644
Boeing 737-800;162;84000;23736;838;3.59;1.0584
Boeing 737 MAX 9;180;45070;16580;839;3.30;1.5797
Boeing 757-300;243;64340;34720;854;5.19;0.6112
Airbus A330-300;262;129400;109185;871;6.25;0.7424
Airbus A340-300;262;131000;110400;914;6.81;0.9706
Airbus A350-1000;367;155000;124650;903;7.58;0.7608
Airbus A380;525;285000;253983;903;13.78;0.5545
Boeing 747-8;467;220128;50400;908;10.54;1.0831
Boeing 777-300ER;365;167829;145538;924;8.49;1.9275
Boeing 777-9X;395;181436;13880;943;7.69;1.5019
Boeing 787-9;291;129000;101456;956;7.18;0.6818
Bombardier-8 Q400;74;17819;6791;556;1.83;0.703
Bombardier CRJ200;50;13835;6489;860;1.8;0.9217
Embraer E-Jet-170;80;21141;9335;797;2.6;1.817
Embraer E-Jet-195;132;28667;12971;829;3.21;0.6698
